rating_id,user_id,movie_id,rating
R0001,U011,M019,1
R0002,U010,M011,8
R0003,U045,M005,6
R0004,U011,M002,5
R0005,U024,M014,6
R0006,U004,M010,5
R0007,U034,M021,2
R0008,U033,M007,3
R0009,U049,M004,10
R0010,U049,M006,9
R0011,U021,M028,6
R0012,U044,M026,5
R0013,U018,M022,6
R0014,U007,M018,10
R0015,U023,M027,3
R0016,U001,M005,9
R0017,U019,M012,8
R0018,U027,M011,3
R0019,U007,M007,3
R0020,U033,M008,4
R0021,U036,M020,9
R0022,U035,M023,9
R0023,U045,M025,2
R0024,U027,M015,2
R0025,U008,M027,3
R0026,U002,M016,6
R0027,U020,M023,6
R0028,U009,M027,8
R0029,U039,M017,6
R0030,U012,M023,5
R0031,U002,M024,2
R0032,U015,M005,3
R0033,U045,M008,5
R0034,U009,M007,3
R0035,U006,M014,2
R0036,U005,M001,8
R0037,U049,M014,1
R0038,U013,M004,1
R0039,U043,M017,10
R0040,U004,M016,2
R0041,U017,M002,2
R0042,U020,M022,1
R0043,U049,M004,2
R0044,U039,M007,10
R0045,U013,M006,6
R0046,U002,M003,3
R0047,U048,M009,10
R0048,U023,M012,3
R0049,U033,M025,10
R0050,U016,M017,10
R0051,U005,M004,10
R0052,U049,M001,9
R0053,U014,M023,4
R0054,U019,M006,9
R0055,U001,M024,2
R0056,U014,M030,9
R0057,U046,M016,6
R0058,U045,M019,3
R0059,U029,M022,2
R0060,U012,M027,6
R0061,U025,M014,4
R0062,U033,M008,7
R0063,U008,M025,6
R0064,U008,M015,2
R0065,U034,M005,8
R0066,U049,M012,5
R0067,U036,M024,1
R0068,U006,M011,8
R0069,U008,M013,5
R0070,U030,M020,5
R0071,U044,M027,8
R0072,U015,M018,7
R0073,U019,M028,7
R0074,U013,M028,2
R0075,U031,M022,6
R0076,U012,M001,8
R0077,U044,M004,7
R0078,U029,M017,2
R0079,U008,M005,7
R0080,U026,M023,10
R0081,U007,M024,3
R0082,U005,M012,4
R0083,U022,M007,10
R0084,U026,M004,4
R0085,U028,M024,8
R0086,U018,M025,10
R0087,U038,M009,7
R0088,U023,M016,10
R0089,U026,M016,9
R0090,U018,M005,8
R0091,U007,M004,5
R0092,U032,M016,4
R0093,U041,M005,1
R0094,U007,M024,1
R0095,U005,M016,1
R0096,U012,M013,10
R0097,U044,M011,3
R0098,U020,M020,10
R0099,U007,M025,2
R0100,U043,M025,9
R0101,U050,M016,8
R0102,U013,M010,8
R0103,U032,M017,5
R0104,U035,M011,9
R0105,U035,M001,1
R0106,U028,M029,2
R0107,U025,M015,6
R0108,U025,M015,8
R0109,U003,M002,3
R0110,U036,M022,5
R0111,U046,M006,8
R0112,U028,M005,5
R0113,U046,M013,8
R0114,U049,M004,10
R0115,U044,M016,9
R0116,U044,M018,10
R0117,U031,M016,9
R0118,U011,M017,1
R0119,U026,M009,8
R0120,U038,M013,10
